ticker,normalized_ticker,company_name,sector,cik,cik_padded,sec_name,exchange,mapping_status,all_sp100_tickers_for_cik
ABT,ABT,Abbott Laboratories,Health Care,1800,0000001800,ABBOTT LABORATORIES,NYSE,matched,ABT
AMD,AMD,Advanced Micro Devices,Information Technology,2488,0000002488,ADVANCED MICRO DEVICES INC,Nasdaq,matched,AMD
AXP,AXP,American Express,Financials,4962,0000004962,AMERICAN EXPRESS CO,NYSE,matched,AXP
AMAT,AMAT,Applied Materials,Information Technology,6951,0000006951,APPLIED MATERIALS INC /DE,Nasdaq,matched,AMAT
BA,BA,Boeing,Industrials,12927,0000012927,BOEING CO,NYSE,matched,BA
BMY,BMY,Bristol Myers Squibb,Health Care,14272,0000014272,BRISTOL MYERS SQUIBB CO,NYSE,matched,BMY
CAT,CAT,Caterpillar Inc.,Industrials,18230,0000018230,CATERPILLAR INC,NYSE,matched,CAT
JPM,JPM,JPMorgan Chase,Financials,19617,0000019617,JPMORGAN CHASE & CO,NYSE,matched,JPM
KO,KO,Coca-Cola Company (The),Consumer Staples,21344,0000021344,COCA COLA CO,NYSE,matched,KO
CL,CL,Colgate-Palmolive,Consumer Staples,21665,0000021665,COLGATE PALMOLIVE CO,NYSE,matched,CL
EMR,EMR,Emerson Electric,Industrials,32604,0000032604,EMERSON ELECTRIC CO,NYSE,matched,EMR
XOM,XOM,ExxonMobil,Energy,34088,0000034088,EXXON MOBIL CORP,NYSE,matched,XOM
USB,USB,U.S. Bancorp,Financials,36104,0000036104,US BANCORP \DE\,NYSE,matched,USB
GD,GD,General Dynamics,Industrials,40533,0000040533,GENERAL DYNAMICS CORP,NYSE,matched,GD
GE,GE,GE Aerospace,Industrials,40545,0000040545,GENERAL ELECTRIC CO,NYSE,matched,GE
INTC,INTC,Intel,Information Technology,50863,0000050863,INTEL CORP,Nasdaq,matched,INTC
IBM,IBM,IBM,Information Technology,51143,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,NYSE,matched,IBM
LLY,LLY,Eli Lilly and Company,Health Care,59478,0000059478,ELI LILLY & Co,NYSE,matched,LLY
LOW,LOW,Lowe's,Consumer Discretionary,60667,0000060667,LOWES COMPANIES INC,NYSE,matched,LOW
MCD,MCD,McDonald's,Consumer Discretionary,63908,0000063908,MCDONALDS CORP,NYSE,matched,MCD
CVS,CVS,CVS Health,Health Care,64803,0000064803,CVS HEALTH Corp,NYSE,matched,CVS
MMM,MMM,3M,Industrials,66740,0000066740,3M CO,NYSE,matched,MMM
BAC,BAC,Bank of America,Financials,70858,0000070858,BANK OF AMERICA CORP /DE/,NYSE,matched,BAC
WFC,WFC,Wells Fargo,Financials,72971,0000072971,WELLS FARGO & COMPANY/MN,NYSE,matched,WFC
PEP,PEP,PepsiCo,Consumer Staples,77476,0000077476,PEPSICO INC,Nasdaq,matched,PEP
PFE,PFE,Pfizer,Health Care,78003,0000078003,PFIZER INC,NYSE,matched,PFE
PG,PG,Procter & Gamble,Consumer Staples,80424,0000080424,PROCTER & GAMBLE Co,NYSE,matched,PG
SO,SO,Southern Company,Utilities,92122,0000092122,SOUTHERN CO,NYSE,matched,SO
CVX,CVX,Chevron Corporation,Energy,93410,0000093410,CHEVRON CORP,NYSE,matched,CVX
TXN,TXN,Texas Instruments,Information Technology,97476,0000097476,TEXAS INSTRUMENTS INC,Nasdaq,matched,TXN
TMO,TMO,Thermo Fisher Scientific,Health Care,97745,0000097745,THERMO FISHER SCIENTIFIC INC.,NYSE,matched,TMO
UNP,UNP,Union Pacific Corporation,Industrials,100885,0000100885,UNION PACIFIC CORP,NYSE,matched,UNP
RTX,RTX,RTX Corporation,Industrials,101829,0000101829,RTX Corp,NYSE,matched,RTX
WMT,WMT,Walmart,Consumer Staples,104169,0000104169,Walmart Inc.,Nasdaq,matched,WMT
JNJ,JNJ,Johnson & Johnson,Health Care,200406,0000200406,JOHNSON & JOHNSON,NYSE,matched,JNJ
MRK,MRK,Merck & Co.,Health Care,310158,0000310158,"Merck & Co., Inc.",NYSE,matched,MRK
DHR,DHR,Danaher Corporation,Health Care,313616,0000313616,DANAHER CORP /DE/,NYSE,matched,DHR
DE,DE,Deere & Company,Industrials,315189,0000315189,DEERE & CO,NYSE,matched,DE
SCHW,SCHW,Charles Schwab Corporation,Financials,316709,0000316709,SCHWAB CHARLES CORP,NYSE,matched,SCHW
AMGN,AMGN,Amgen,Health Care,318154,0000318154,AMGEN INC,Nasdaq,matched,AMGN
NKE,NKE,"Nike, Inc.",Consumer Discretionary,320187,0000320187,"NIKE, Inc.",NYSE,matched,NKE
AAPL,AAPL,Apple Inc.,Information Technology,320193,0000320193,Apple Inc.,Nasdaq,matched,AAPL
HD,HD,Home Depot,Consumer Discretionary,354950,0000354950,"HOME DEPOT, INC.",NYSE,matched,HD
LRCX,LRCX,Lam Research,Information Technology,707549,0000707549,LAM RESEARCH CORP,Nasdaq,matched,LRCX
MU,MU,Micron Technology,Information Technology,723125,0000723125,MICRON TECHNOLOGY INC,Nasdaq,matched,MU
UNH,UNH,UnitedHealth Group,Health Care,731766,0000731766,UNITEDHEALTH GROUP INC,NYSE,matched,UNH
VZ,VZ,Verizon,Communication Services,732712,0000732712,VERIZON COMMUNICATIONS INC,NYSE,matched,VZ
T,T,AT&T,Communication Services,732717,0000732717,AT&T INC.,NYSE,matched,T
NEE,NEE,NextEra Energy,Utilities,753308,0000753308,NEXTERA ENERGY INC,NYSE,matched,NEE
MO,MO,Altria,Consumer Staples,764180,0000764180,"ALTRIA GROUP, INC.",NYSE,matched,MO
HON,HON,Honeywell,Industrials,773840,0000773840,HONEYWELL INTERNATIONAL INC,Nasdaq,matched,HON
MSFT,MSFT,Microsoft,Information Technology,789019,0000789019,MICROSOFT CORP,Nasdaq,matched,MSFT
ADBE,ADBE,Adobe Inc.,Information Technology,796343,0000796343,ADOBE INC.,Nasdaq,matched,ADBE
QCOM,QCOM,Qualcomm,Information Technology,804328,0000804328,QUALCOMM INC/DE,Nasdaq,matched,QCOM
SBUX,SBUX,Starbucks,Consumer Discretionary,829224,0000829224,STARBUCKS CORP,Nasdaq,matched,SBUX
C,C,Citigroup,Financials,831001,0000831001,CITIGROUP INC,NYSE,matched,C
CSCO,CSCO,Cisco,Information Technology,858877,0000858877,"CISCO SYSTEMS, INC.",Nasdaq,matched,CSCO
GILD,GILD,Gilead Sciences,Health Care,882095,0000882095,"GILEAD SCIENCES, INC.",Nasdaq,matched,GILD
GS,GS,Goldman Sachs,Financials,886982,0000886982,GOLDMAN SACHS GROUP INC,NYSE,matched,GS
MS,MS,Morgan Stanley,Financials,895421,0000895421,MORGAN STANLEY,NYSE,matched,MS
INTU,INTU,Intuit,Information Technology,896878,0000896878,INTUIT INC.,Nasdaq,matched,INTU
COST,COST,Costco,Consumer Staples,909832,0000909832,COSTCO WHOLESALE CORP /NEW,Nasdaq,matched,COST
COF,COF,Capital One,Financials,927628,0000927628,CAPITAL ONE FINANCIAL CORP,NYSE,matched,COF
LMT,LMT,Lockheed Martin,Industrials,936468,0000936468,LOCKHEED MARTIN CORP,NYSE,matched,LMT
AMZN,AMZN,Amazon,Consumer Discretionary,1018724,0001018724,AMAZON COM INC,Nasdaq,matched,AMZN
ISRG,ISRG,Intuitive Surgical,Health Care,1035267,0001035267,INTUITIVE SURGICAL INC,Nasdaq,matched,ISRG
NVDA,NVDA,Nvidia,Information Technology,1045810,0001045810,NVIDIA CORP,Nasdaq,matched,NVDA
FDX,FDX,FedEx,Industrials,1048911,0001048911,FEDEX CORP,NYSE,matched,FDX
AMT,AMT,American Tower,Real Estate,1053507,0001053507,AMERICAN TOWER CORP /MA/,NYSE,matched,AMT
SPG,SPG,Simon Property Group,Real Estate,1063761,0001063761,SIMON PROPERTY GROUP INC.,NYSE,matched,SPG
NFLX,NFLX,"Netflix, Inc.",Communication Services,1065280,0001065280,NETFLIX INC,Nasdaq,matched,NFLX
BRK.B,BRK-B,Berkshire Hathaway (Class B),Financials,1067983,0001067983,BERKSHIRE HATHAWAY INC,NYSE,matched,BRK.B
BKNG,BKNG,Booking Holdings,Consumer Discretionary,1075531,0001075531,Booking Holdings Inc.,Nasdaq,matched,BKNG
UPS,UPS,United Parcel Service,Industrials,1090727,0001090727,UNITED PARCEL SERVICE INC,NYSE,matched,UPS
MDLZ,MDLZ,Mondelēz International,Consumer Staples,1103982,0001103982,"Mondelez International, Inc.",Nasdaq,matched,MDLZ
CRM,CRM,Salesforce,Information Technology,1108524,0001108524,"Salesforce, Inc.",NYSE,matched,CRM
MA,MA,Mastercard,Financials,1141391,0001141391,Mastercard Inc,NYSE,matched,MA
COP,COP,ConocoPhillips,Energy,1163165,0001163165,CONOCOPHILLIPS,NYSE,matched,COP
CMCSA,CMCSA,Comcast,Communication Services,1166691,0001166691,COMCAST CORP,Nasdaq,matched,CMCSA
TMUS,TMUS,T-Mobile US,Communication Services,1283699,0001283699,"T-Mobile US, Inc.",Nasdaq,matched,TMUS
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,1318605,0001318605,"Tesla, Inc.",Nasdaq,matched,TSLA
PLTR,PLTR,Palantir Technologies,Information Technology,1321655,0001321655,Palantir Technologies Inc.,Nasdaq,matched,PLTR
